id,category_name,category_id,name,mrn,mrn_full,desc,webtrition_id,sort_order,portion,qty,ingredients,category_id,custom_allergens,calories
670ab1f42b7b7acd385ea45d,Comfort 1,66e1fc2de45d43074be3a0de,Scrambled Eggs,2032,2032.23,,,1,1/2 cup,,"Liquid Egg, Canola Oil",66e1fc2de45d43074be3a0de,,200
670ab1f42b7b7acd385ea467,Comfort 1,66e1fc2de45d43074be3a0de,Broccoli and Cheddar Egg Scramble,30880,30880.0,Broccoli and Cheddar Scramble,,2,5-1/2 ounce,,"Egg, Egg, Broccoli, Cheddar Cheese, Oil",66e1fc2de45d43074be3a0de,,240
670ab1f42b7b7acd385ea47d,Comfort 1,66e1fc2de45d43074be3a0de,Pork Sausage Link,1125,1125.1,,,4,1 each,,Pork Sausage,66e1fc2de45d43074be3a0de,,200
670ab1f42b7b7acd385ea480,Comfort 2,66e1fc2de45d43074be3a0db,Tater Tots,1178,1178.0,Crispy tater puffs,,2,1/2 cup,,Tater Tot Potatoes,66e1fc2de45d43074be3a0db,,140
670ab1f42b7b7acd385ea46b,Comfort 2,66e1fc2de45d43074be3a0db,Chocolate Chip Pancakes,616,616.22,Served with strawberries and maple flavored syrup.,,3,2 each,,"Water, Buttermilk Pancake Mix, Semi Sweet Chocolate",66e1fc2de45d43074be3a0db,,320
670ab1f42b7b7acd385ea472,Comfort 2,66e1fc2de45d43074be3a0db,Steamed Green Beans ,102964,102964.0,"Steamed, lightly seasoned green beans ",,4,1/2 cup,,"Green Beans, Canola Oil, Salt",66e1fc2de45d43074be3a0db,,80
670ab1f42b7b7acd385ea451,Rooted 1,66e1fc2de45d43074be3a0dc,"Tofu Scramble, Salsa",79500,79500.0,,,1,1-1/2 cup,,"Tofu, Avocado, Onions, Mushrooms, Tomatoes, Jalapeno, Garlic, Lime, Lemon Juice, Canola Oil, Turmeric, Serrano Pepper, Cilantro, Salt, Garlic",66e1fc2de45d43074be3a0dc,,420
670ab1f42b7b7acd385ea455,Rooted 1,66e1fc2de45d43074be3a0dc,"Vegan Crumbled ""Chorizo""",84392,84392.2,,,2,1 ounce,,Meatless Chorizo,66e1fc2de45d43074be3a0dc,,70
670ab1f42b7b7acd385ea448,Rooted 1,66e1fc2de45d43074be3a0dc,Soy Milk Cinnamon French Toast,101631,101631.2,,,3,1 slice,,"Texas Bread, Soy Milk, Gluten Allergen Free Pancake and Waffle Mix^, Canola Oil, Pancake & Waffle Syrup, Cinnamon, Salt",66e1fc2de45d43074be3a0dc,,310
670ab1f42b7b7acd385ea4de,Fruit & Yogurt,66e1fc2de45d43074be3a0e2,Cubed Cantaloupe,1175,1175.0,,,1,2 ounce,,Cantaloupe,66e1fc2de45d43074be3a0e2,,20
