id,category_name,category_id,name,mrn,mrn_full,desc,webtrition_id,sort_order,portion,qty,ingredients,category_id,custom_allergens,calories
670aca9e2b7b7acd3852b8ac,Kitchen Entree,66e85380351d5306adcbcbbf,Chicken Enchilada Casserole,1877,1877.12,Served with a mild tomato sauce.,,1,1 slice,,"Chicken, Enchilada Sauce, Corn Tortilla (Corn, Water, Preservatives, Xanthan Gum, Lime), Water, Monterey Jack Cheese, Onions, Sour Cream, Romano Cheese, Green Onions, Canola Oil, Chicken Base, Cilantro",66e85380351d5306adcbcbbf,,280
670aca9e2b7b7acd3852b8af,Kitchen Entree,66e85380351d5306adcbcbbf,Smashed Black Beans,102312,102312.0,Smashed black beans with fresh tomatoes,,2,1/2 cup,,"Black turtle beans (Prepared Black beans, water, salt and calcium chloride), Tomatoes, Onions, Canola Oil, Serrano Pepper, Cumin, Garlic, Salt, Black Pepper, Oregano",66e85380351d5306adcbcbbf,,110
670aca9e2b7b7acd3852b8a5,Kitchen Entree,66e85380351d5306adcbcbbf,Mexican Lasagna,103879,103879.0,"Mexican lasagna made with layers of corn tortilla, pepperjack cheese, green chillis, refried beans and red enchilada sauce.",,3,1 slice,,"Vegetarian Refried Beans, Enchilada Sauce, Corn Tortilla (Corn, Water, Preservatives, Xanthan Gum, Lime), Green Chili Peppers, Pepper Jack Cheese, Onions, Cilantro, Canola Oil, Salt",66e85380351d5306adcbcbbf,,200
670aca9e2b7b7acd3852bb81,Kitchen Sides,66f31ebcc625af00e05442cb,Steamed Peas ,31204,31204.1,,,1,1/2 cup,,Green Peas,66f31ebcc625af00e05442cb,,60
670aca9e2b7b7acd3852bb7c,Kitchen Sides,66f31ebcc625af00e05442cb,Corn Esquites,106633,106633.1,Roasted corn with Parmesan cheese and mayo,,2,1/2 cup,,"Corn, Butter, Mayonnaise, Lime Juice, Parmesan Cheese, Chili Powder",66f31ebcc625af00e05442cb,,270
670aca9e2b7b7acd3852b8b9,Flame,66e85380351d5306adcbcbc0,"Grilled Bacon, Tomato and Cheese",6793,6793.0,"Melted cheese, bacon and tomato and freshly grilled bread",,1,1 sandwich,,"Texas Bread, Tomatoes, American Cheese, Canola Oil, Bacon",66e85380351d5306adcbcbc0,,570
670aca9e2b7b7acd3852b8b5,Flame,66e85380351d5306adcbcbc0,French Fries,8414,8414.0,,,4,1/2 cup,,French Fries,66e85380351d5306adcbcbc0,,60
670aca9e2b7b7acd3852b8e9,500 Degrees,66e85380351d5306adcbcbc1,Cheese Pizza,103574,103574.1,Traditional pizza with just pizza sauce and mozzarella cheese,,1,1 slice,,"Pizza Dough, Part Skim Mozzarella Cheese, Crushed tomatoes (unpeeled tomatoes, tomato puree, salt, citric acid), Chopped whole peeled tomatoes (tomatoes, tomato juice, salt, calcium chloride, citric acid), Canola Oil, Salt, Basil, Garlic, Black Pepper",66e85380351d5306adcbcbc1,,190
670aca9e2b7b7acd3852b8e4,500 Degrees,66e85380351d5306adcbcbc1,Pepperoni Pizza,103896,103896.0,,,2,1 slice,,"Pizza Dough, Part Skim Mozzarella Cheese, Crushed tomatoes (unpeeled tomatoes, tomato puree, salt, citric acid), Chopped whole peeled tomatoes (tomatoes, tomato juice, salt, calcium chloride, citric acid), Pepperoni-, Canola Oil, Salt, Basil, Garlic, Black Pepper",66e85380351d5306adcbcbc1,,210
670aca9e2b7b7acd3852b8cb,500 Degrees,66e85380351d5306adcbcbc1,Sausage and Egg Breakfast Calzone,11334,11334.0,A Italian Breakfast Savory Treat,,3,1 each,,"Biscuit Dough, Liquid Egg, Cheddar Cheese, Italian Sausage, Canola Oil, Unsalted Butter, Sesame Seeds",66e85380351d5306adcbcbc1,,770
