id,category_name,category_id,name,mrn,mrn_full,desc,webtrition_id,sort_order,portion,qty,ingredients,category_id,custom_allergens,calories
670aca9e2b7b7acd3852bcb1,Kitchen Entree,66e43426c625af07233bfef3,Chicken and Sausage Jambalaya,103330,103330.0,"Chicken, sausage, tomatoes, and rice",,1,1 cup,,"Chicken, Water, Tomatoes, Long Grain White Rice, Andouille Sausage, Onions, Celery, Green Bell Peppers, Tomato paste (tomato paste, salt, citric acid), Cajun Bayou Seasoning, Canola Oil, Chicken Base, Salt, Hot Sauce (vinegar, red pepper, salt), Garlic, Black Pepper, Parsley, Bay Leaf",66e43426c625af07233bfef3,,210
670aca9e2b7b7acd3852bcbf,Kitchen Entree,66e43426c625af07233bfef3,Potato and Cheddar Pierogi,127582,127582.3,,,2,3 each,,Potato & Cheddar Pierogies,66e43426c625af07233bfef3,,180
670aca9e2b7b7acd3852bce3,Kitchen Entree,66e43426c625af07233bfef3,White Rice,103814,103814.0,White Rice Cooked with Canola Oil and Salt,,3,1/2 cup,,"Water, Long Grain White Rice, Canola Oil, Salt",66e43426c625af07233bfef3,,120
670aca9e2b7b7acd3852bee5,Kitchen Sides,66f31ebcc625af00e05442cd,Cauliflower,1376,1376.3,,,1,1/2 cup,,Cauliflower,66f31ebcc625af00e05442cd,,15
670aca9e2b7b7acd3852bedd,Kitchen Sides,66f31ebcc625af00e05442cd,Fried Okra,103332,103332.0,Crispy okra with cornmeal,,2,1/2 cup,,"Okra, Yellow Cornmeal, Liquid Egg, Whole Milk, Salt, Black Pepper",66f31ebcc625af00e05442cd,,250
670aca9e2b7b7acd3852bc9b,Flame,66e43426c625af07233bfef4,"Bacon, Egg, Cheese, Waffle Sandwich",4578,4578.3,"Grilled waffle sandwich with bacon, egg and pepper jack",,1,1 sandwich,,"Waffles, Egg, Bacon, Pepper Jack Cheese",66e43426c625af07233bfef4,,370
670aca9e2b7b7acd3852bcb9,Flame,66e43426c625af07233bfef4,French Fries,8414,8414.0,,,4,1/2 cup,,French Fries,66e43426c625af07233bfef4,,60
670aca9e2b7b7acd3852bca7,500 Degrees,66e43426c625af07233bfef5,Cheese Pizza,103574,103574.1,Traditional pizza with just pizza sauce and mozzarella cheese,,1,1 slice,,"Pizza Dough, Part Skim Mozzarella Cheese, Crushed tomatoes (unpeeled tomatoes, tomato puree, salt, citric acid), Chopped whole peeled tomatoes (tomatoes, tomato juice, salt, calcium chloride, citric acid), Canola Oil, Salt, Basil, Garlic, Black Pepper",66e43426c625af07233bfef5,,190
670aca9e2b7b7acd3852bca0,500 Degrees,66e43426c625af07233bfef5,Pepperoni Pizza,103896,103896.0,,,2,1 slice,,"Pizza Dough, Part Skim Mozzarella Cheese, Crushed tomatoes (unpeeled tomatoes, tomato puree, salt, citric acid), Chopped whole peeled tomatoes (tomatoes, tomato juice, salt, calcium chloride, citric acid), Pepperoni-, Canola Oil, Salt, Basil, Garlic, Black Pepper",66e43426c625af07233bfef5,,210
670aca9e2b7b7acd3852bc8a,500 Degrees,66e43426c625af07233bfef5,Sausage and Egg Breakfast Calzone,11334,11334.0,A Italian Breakfast Savory Treat,,3,1 each,,"Biscuit Dough, Liquid Egg, Cheddar Cheese, Italian Sausage, Canola Oil, Unsalted Butter, Sesame Seeds",66e43426c625af07233bfef5,,770
670aca9e2b7b7acd3852bcd6,500 Degrees,66e43426c625af07233bfef5,Crushed Red Pepper,63317,63317.0,,,4,1 tsp,,Red Pepper,66e43426c625af07233bfef5,,5
670aca9e2b7b7acd3852bcd1,500 Degrees,66e43426c625af07233bfef5,Dried Oregano,76771,76771.0,,,5,1 tsp,,Oregano,66e43426c625af07233bfef5,,0
670aca9e2b7b7acd3852bcde,500 Degrees,66e43426c625af07233bfef5,Grated Parmesan Cheese,62346,62346.0,,,6,1 tsp,,Parmesan Cheese,66e43426c625af07233bfef5,,10
670aca9e2b7b7acd3852bcf0,Soup,66e43426c625af07233bfef7,Vegetable Beef Soup,5697,5697.0,"With tomatoes, beef, okra and corn, in a light beef broth",,1,1 ladle-6oz,,"Water, Okra, Water, Potatoes, Corn, Green Peas, Diced tomatoes (tomatoes, tomato juice, calcium chloride, citric acid), Beef, Waters, Celery, Elbow Macaroni, Onions, Tomato paste (tomato paste, salt, citric acid), Bacon Base, All Purpose Flour, Bay Leaf",66e43426c625af07233bfef7,,70
670aca9e2b7b7acd3852bd8d,Soup,66e43426c625af07233bfef7,Vegetable Minestrone Soup,115132,115132.0,,,2,6 ounce,,"Water, Crushed tomatoes (unpeeled tomatoes, tomato puree, salt, citric acid), Kidney Beans (kidney beans, water, sugar, dextrose, salt, calcium chloride, disodium EDTA), Elbow Macaroni, Cabbage, Carrots, Celery, Green Beans, Onions, Potatoes, Tomatoes, Vegetable Base, Spinach, Basil, Canola Oil, Garlic, Salt, Thyme, Fresh Ground Black Pepper, Bay Leaf",66e43426c625af07233bfef7,,80
670aca9e2b7b7acd3852bccb,Soup,66e43426c625af07233bfef7,"Crackers, Saltine, 2 CT, Zesta",1909,1909.0,,,3,1 each,,"Enriched flour (wheat flour, niacin, reduced iron, vitamin B1 [thiamin mononitrate], vitamin B2 [riboflavin], folic acid), soybean oil (with TBHQ for freshness), salt, corn syrup. Contains 2% or less of baking soda, yeast, soy lecithin.
Contains: Wheat, Soy. ",66e43426c625af07233bfef7,,25
670aca9e2b7b7acd3852bd88,Pure Eats,66e43426c625af07233bfef8,Buffalo Chicken Breast,38504,38504.0,,,1,4 ounce,,"Chicken, Buffalo Wing Sauce, Black Pepper",66e43426c625af07233bfef8,,170
670aca9e2b7b7acd3852bcab,Pure Eats,66e43426c625af07233bfef8,Avoiding Gluten Barilla Penne,50923,50923.10,Simply cooked penne,,2,1 cup,,"Water, Gluten Free Penne Pasta",66e43426c625af07233bfef8,,130
670aca9e2b7b7acd3852bc91,Pure Eats,66e43426c625af07233bfef8,Marinara Sauce ,103930,103930.0,Garlic Marinara Sauce,,3,1/2 cup,,"Crushed tomatoes (tomatoes, tomato juice, citric acid, calcium chloride), Tomato puree (tomato puree, water, tomato paste, citric acid), Onions, Olive Oil, Salt, Garlic, Basil, Oregano, Red Pepper",66e43426c625af07233bfef8,,30
670aca9e2b7b7acd3852bceb,Pure Eats,66e43426c625af07233bfef8,Roasted Cauliflower,103917,103917.0,,,4,1/2 cup,,"Cauliflower, Canola Oil, Salt, Black Pepper",66e43426c625af07233bfef8,,50
670aca9e2b7b7acd3852bcf4,Pure Eats,66e43426c625af07233bfef8,Mixed Melon,5448,5448.0,A combination of seasonal melons,,5,1/2 cup,,"Cantaloupe, Honeydew Melon",66e43426c625af07233bfef8,,30
670aca9e2b7b7acd3852bcfa,Pure Eats,66e43426c625af07233bfef8,Yukon Potato Salad,34992,34992.1,Creamy potato salad ,,6,1/2 cup,,"Yukon Gold Potatoes, Red Bell Peppers, Corn, Olive Oil, Canola Oil, Salt, Black Pepper, Black Pepper",66e43426c625af07233bfef8,,140
670aca9e2b7b7acd3852be9c,United Table,66e43426c625af07233bff00,Omelet Bar,128444,128444.0,,,1,1 plate,,Water,66e43426c625af07233bff00,,0
670aca9e2b7b7acd3852bea8,United Table,66e43426c625af07233bff00,Eggs,73988,73988.0,,,2,3 floz,,Liquid Egg,66e43426c625af07233bff00,,130
670aca9e2b7b7acd3852bea4,United Table,66e43426c625af07233bff00,Egg Whites,63110,63110.0,two egg whites made-to-order,,3,3 floz,,Liquid Egg White,66e43426c625af07233bff00,,45
670aca9e2b7b7acd3852beb0,United Table,66e43426c625af07233bff00,Chopped Spinach,47960,47960.3,,,4,1 ounce,,Spinach,66e43426c625af07233bff00,,5
670aca9e2b7b7acd3852beac,United Table,66e43426c625af07233bff00,Chopped Broccoli ,66238,66238.0,,,5,1 ounce,,Broccoli,66e43426c625af07233bff00,,10
670aca9e2b7b7acd3852bec1,United Table,66e43426c625af07233bff00,Chopped Tomatoes,47955,47955.6,,,6,1 tbsp,,Tomatoes,66e43426c625af07233bff00,,0
670aca9e2b7b7acd3852bed3,United Table,66e43426c625af07233bff00, Diced Onions,13404,13404.3,,,7,1 tbsp,,Onions,66e43426c625af07233bff00,,0
670aca9e2b7b7acd3852bed7,United Table,66e43426c625af07233bff00,Sliced Mushrooms,62338,62338.0,,,8,1 tbsp,,Mushrooms,66e43426c625af07233bff00,,0
670aca9e2b7b7acd3852bece,United Table,66e43426c625af07233bff00,Chopped Green Bell Pepper,63065,63065.0,,,9,1 tbsp,,Green Bell Peppers,66e43426c625af07233bff00,,0
670aca9e2b7b7acd3852bec8,United Table,66e43426c625af07233bff00,Sliced Black Olives,46017,46017.8,Sliced Black Olives,,10,1 ounce,,Black Olives,66e43426c625af07233bff00,,35
670aca9e2b7b7acd3852bea1,United Table,66e43426c625af07233bff00,Pico de Gallo,8087,8087.0,,,11,1 ladle-1oz,,"Tomatoes, Jalapeno, Lime, Onions, Cilantro, Salt",66e43426c625af07233bff00,,5
670aca9e2b7b7acd3852bec2,United Table,66e43426c625af07233bff00,Shredded Sharp Cheddar Cheese,3664,3664.0,,,12,1 tbsp,,Sharp Cheddar Cheese,66e43426c625af07233bff00,,60
670aca9e2b7b7acd3852beb9,United Table,66e43426c625af07233bff00,Crumbled Feta Cheese,62345,62345.0,,,13,1 tbsp,,Feta Cheese,66e43426c625af07233bff00,,25
670aca9e2b7b7acd3852be99,United Table,66e43426c625af07233bff00,Diced Smoked Ham,62288,62288.1,,,14,1 tbsp,,Ham,66e43426c625af07233bff00,,15
670aca9e2b7b7acd3852beb5,United Table,66e43426c625af07233bff00,Chicken Sausage Patty,143056,143056.0,Fully Cooked Chicken Sausage Patty,,15,1 each,,"Chicken Sausage, Allergen Free Cooking Spray",66e43426c625af07233bff00,,90
