id,category_name,category_id,name,mrn,mrn_full,desc,webtrition_id,sort_order,portion,qty,ingredients,category_id,custom_allergens,calories
670ab6d12b7b7acd388e9c29,Beverages,66e99466351d5306ad498441,Orange Juice,63589,63589.0,,,1,8 floz,,Orange Juice,66e99466351d5306ad498441,,120
670ab6d12b7b7acd388e9c3d,Beverages,66e99466351d5306ad498441,Apple Juice,63593,63593.0,,,2,8 floz,,Apple Juice,66e99466351d5306ad498441,,110
670ab6d12b7b7acd388e9bf7,Beverages,66e99466351d5306ad498441,Cranberry Juice,63614,63614.1,,,3,1 floz,,Cranberry Juice,66e99466351d5306ad498441,,15
670ab6d12b7b7acd388e9c31,Beverages,66e99466351d5306ad498441,Coffee,81275,81275.0,,,4,6 floz,,"Water, Coffee",66e99466351d5306ad498441,,0
670ab6d12b7b7acd388e9c1f,Beverages,66e99466351d5306ad498441,Decaf Coffee,16603,16603.0,,,5,8 floz,,"Water, Decaf Coffee",66e99466351d5306ad498441,,0
670ab6d12b7b7acd388e9c26,Beverages,66e99466351d5306ad498441,Hot Cocoa,81231,81231.0,,,6,8 floz,,"Water, Cocoa Mix",66e99466351d5306ad498441,,140
670ab6d12b7b7acd388e9c54,Beverages,66e99466351d5306ad498441,Mountain Berry Powerade,82373,82373.5,,,7,16 floz,,Mountain Berry Powerade,66e99466351d5306ad498441,,120
670ab6d12b7b7acd388e9c04,Beverages,66e99466351d5306ad498441,Lemonade,85814,85814.9,,,8,16 floz,,Lemonade,66e99466351d5306ad498441,,290
670ab6d12b7b7acd388e9c5b,Beverages,66e99466351d5306ad498441,Coca-Cola,80448,80448.0,,,9,16 floz,,Cola Syrup,66e99466351d5306ad498441,,210
670ab6d12b7b7acd388e9c4b,Beverages,66e99466351d5306ad498441,Sprite,80876,80876.0,,,10,16 floz,,Sprite Syrup,66e99466351d5306ad498441,,200
670ab6d12b7b7acd388e9be8,Beverages,66e99466351d5306ad498441,Barq's Root Beer,80888,80888.0,,,11,16 floz,,Root Beer Syrup,66e99466351d5306ad498441,,230
670ab6d12b7b7acd388e9c34,Beverages,66e99466351d5306ad498441,Sprite Zero,80887,80887.0,,,12,1 floz,,Sprite Zero Syrup,66e99466351d5306ad498441,,0
