id,category_name,category_id,name,mrn,mrn_full,desc,webtrition_id,sort_order,portion,qty,ingredients,category_id,custom_allergens,calories
670ab6d12b7b7acd388e9e2d,Comfort,66e99466351d5306ad498446,Scrambled Eggs,25848,25848.0,,,1,1/2 cup,,"Liquid Egg, Oil",66e99466351d5306ad498446,,160
670ab6d12b7b7acd388e9e42,Comfort,66e99466351d5306ad498446,Turkey Sausage Link,57570,57570.0,,,2,1 each,,Turkey Sausage,66e99466351d5306ad498446,,35
670ab6d12b7b7acd388e9e32,Comfort,66e99466351d5306ad498446,Chicken and Sausage Jambalaya,103330,103330.0,"Chicken, sausage, tomatoes, and rice",,4,1 cup,,"Chicken, Water, Tomatoes, Long Grain White Rice, Andouille Sausage, Onions, Celery, Green Bell Peppers, Tomato paste (tomato paste, salt, citric acid), Cajun Bayou Seasoning, Canola Oil, Chicken Base, Salt, Hot Sauce (vinegar, red pepper, salt), Garlic, Black Pepper, Parsley, Bay Leaf",66e99466351d5306ad498446,,210
670ab6d12b7b7acd388e9e3a,Comfort,66e99466351d5306ad498446,Tofu Jambalaya,13419,13419.5,Spicy Creole and Cajun stew with tofu and vegetable mixed with brown rice,,5,1 cup,,"Water, Brown Rice, Tofu, Crushed tomatoes (tomatoes, tomato juice, citric acid, calcium chloride), Onions, Green Bell Peppers, Green Onions, Celery, Vegetable Base, Canola Oil, Lemon Juice, Garlic, Salt, Cajun Seasoning, Thyme, Red Pepper, Bay Leaf",66e99466351d5306ad498446,,310
670ab6d12b7b7acd388e9e45,Comfort,66e99466351d5306ad498446,Potato Wedges,63250,63250.0,,,6,3 ounce,,"Red Bliss Potatoes, Paprika (Paprika and Silicon Dioxide), Canola Oil, Garlic, Parsley, Salt, Granulated Onion, Black Pepper, Rosemary",66e99466351d5306ad498446,,80
670ab6d12b7b7acd388e9e4a,Comfort,66e99466351d5306ad498446,Steamed Cauliflower,103873,103873.0,Steamed Cauliflower ,,7,1/2 cup,,Cauliflower,66e99466351d5306ad498446,,25
670ab6d12b7b7acd388e9e1a,Flame,66e99466351d5306ad498447,Grilled Chicken,102407,102407.0,"Boneless chicken breast, grilled to perfection.",,1,4 ounce,,"Chicken, Canola Oil",66e99466351d5306ad498447,,140
670ab6d12b7b7acd388e9e15,Flame,66e99466351d5306ad498447,"Bacon, Egg, Cheese, Waffle Sandwich",4578,4578.3,"Grilled waffle sandwich with bacon, egg and pepper jack",,2,1 sandwich,,"Waffles, Egg, Bacon, Pepper Jack Cheese",66e99466351d5306ad498447,,370
670ab6d12b7b7acd388e9e6b,Flame,66e99466351d5306ad498447,Curly-Q French Fries,769,769.0,Crisp and golden,,3,1/2 cup,,"Seasoned French Fries, Salt",66e99466351d5306ad498447,,200
670ab6d12b7b7acd388e9df8,Pizza/Pasta,66e99466351d5306ad498448,Cheese Pizza,103574,103574.1,Traditional pizza with just pizza sauce and mozzarella cheese,,1,1 slice,,"Pizza Dough, Part Skim Mozzarella Cheese, Crushed tomatoes (unpeeled tomatoes, tomato puree, salt, citric acid), Chopped whole peeled tomatoes (tomatoes, tomato juice, salt, calcium chloride, citric acid), Canola Oil, Salt, Basil, Garlic, Black Pepper",66e99466351d5306ad498448,,190
670ab6d12b7b7acd388e9df2,Pizza/Pasta,66e99466351d5306ad498448,Pepperoni Pizza,103896,103896.0,,,2,1 slice,,"Pizza Dough, Part Skim Mozzarella Cheese, Crushed tomatoes (unpeeled tomatoes, tomato puree, salt, citric acid), Chopped whole peeled tomatoes (tomatoes, tomato juice, salt, calcium chloride, citric acid), Pepperoni-, Canola Oil, Salt, Basil, Garlic, Black Pepper",66e99466351d5306ad498448,,210
670ab6d12b7b7acd388e9e11,Pizza/Pasta,66e99466351d5306ad498448,Sausage and Egg Breakfast Calzone,11334,11334.0,A Italian Breakfast Savory Treat,,3,1 each,,"Biscuit Dough, Liquid Egg, Cheddar Cheese, Italian Sausage, Canola Oil, Unsalted Butter, Sesame Seeds",66e99466351d5306ad498448,,770
670ab6d12b7b7acd388e9e03,Pizza/Pasta,66e99466351d5306ad498448,Crushed Red Pepper,63317,63317.0,,,4,1 tsp,,Red Pepper,66e99466351d5306ad498448,,5
670ab6d12b7b7acd388e9dfb,Pizza/Pasta,66e99466351d5306ad498448,Dried Oregano,76771,76771.0,,,5,1 tsp,,Oregano,66e99466351d5306ad498448,,0
670ab6d12b7b7acd388e9e0c,Pizza/Pasta,66e99466351d5306ad498448,Grated Parmesan Cheese,62346,62346.0,,,6,1 tsp,,Parmesan Cheese,66e99466351d5306ad498448,,10
