id,category_name,category_id,name,mrn,mrn_full,desc,webtrition_id,sort_order,portion,qty,ingredients,category_id,custom_allergens,calories
670abaf22b7b7acd38bbe4f6,Pure Eats,66e99466351d5306ad498462,Pasta Bowl,128444,128444.85,,,1,1 plate,,Water,66e99466351d5306ad498462,,0
670abaf22b7b7acd38bbe501,Pure Eats,66e99466351d5306ad498462,Beef Bolognese,129235,129235.4,Beef Bolognese,,2,1/2 cup,,"Beef, Crushed tomatoes (tomatoes, tomato juice, citric acid, calcium chloride), Onions, Tomato puree (tomato puree, water, tomato paste, citric acid), Celery, Olive Oil, Garlic, Onions, Salt, Parsley, Salt, Black Pepper, Oregano, Basil, Red Pepper",66e99466351d5306ad498462,,150
670abaf22b7b7acd38bbe4f8,Pure Eats,66e99466351d5306ad498462,Marinara Sauce ,103930,103930.0,Garlic Marinara Sauce,,3,1/2 cup,,"Crushed tomatoes (tomatoes, tomato juice, citric acid, calcium chloride), Tomato puree (tomato puree, water, tomato paste, citric acid), Onions, Olive Oil, Salt, Garlic, Basil, Oregano, Red Pepper",66e99466351d5306ad498462,,30
670abaf22b7b7acd38bbe505,Pure Eats,66e99466351d5306ad498462,Avoiding Gluten Barilla Penne,50923,50923.10,Simply cooked penne,,4,1 cup,,"Water, Gluten Free Penne Pasta",66e99466351d5306ad498462,,130
670abaf22b7b7acd38bbe50a,Pure Eats,66e99466351d5306ad498462,Pesto Sauce,7854,7854.1,,,6,1 floz,,"Canola Oil, Basil, Parsley, Garlic",66e99466351d5306ad498462,,170
670abaf22b7b7acd38bbe4fe,Pure Eats,66e99466351d5306ad498462,Spicy Cucumber Chickpea Salad,138808,138808.0,"Smashed Cucumber Salad with Crispy Chickpea, Onions, Bell Peppers, and Garlic",,7,4 ounce,,"Chick peas (Chick Peas, Water, Salt, Mustard, Calcium Chloride, Disodium EDTA), Cucumber, Onions, Red Bell Peppers, Lime Juice, Olive Oil, Garlic, Salt, Paprika (Paprika and Silicon Dioxide), Garlic, Chili Powder (Chili Pepper, Salt, Cumin, Oregano, Silicon Dioxide, Garlic), Cardamom, Ginger (Ginger and Sulfur Dioxide), Oregano, Paprika (Paprika and Silicon Dioxide), Cayenne Pepper",66e99466351d5306ad498462,,100
670abaf22b7b7acd38bbe54c,Pure Eats,66e99466351d5306ad498462,Steamed Carrots,30398,30398.0,,,8,1/2 cup,,Carrots,66e99466351d5306ad498462,,35
670abaf22b7b7acd38bbe4ba,Pure Eats Soup,66e99466351d5306ad498463,Butternut Squash Soup,19061,19061.0,,,2,1 ladle-6oz,,"Squash, Water, Onions, Celery, Vegetable Base, Oregano, Salt, Olive Oil, Bay Leaf, Nutmeg, Black Pepper",66e99466351d5306ad498463,,50
670abaf22b7b7acd38bbe4ce,Pure Eats Salad,66e99466351d5306ad498464,Tomato Onion Salad,43969,43969.0,Simple salad to complement Indian Curry,,1,1/2 cup,,"Tomatoes, Onions, Lemon Juice, Canola Oil, Salt, Black Pepper",66e99466351d5306ad498464,,25
670abaf22b7b7acd38bbe4be,Pure Eats Salad,66e99466351d5306ad498464,Honeydew and Cantaloupe,5251,5251.4,,,2,1/2 cup,,"Honeydew Melon, Cantaloupe",66e99466351d5306ad498464,,15
670abaf22b7b7acd38bbe4c3,Pure Eats Pizza,66e99466351d5306ad498465,Pure Eats Vegetable Pizza,102538,102538.1,"Crispy golden crust with green peppers, fresh mushrooms, and red onions baked to perfection.",,1,1 slice,,"Gluten Free Pizza Crust, Green Bell Peppers, Onions, Mushrooms, Crushed tomatoes (unpeeled tomatoes, tomato puree, salt, citric acid), Chopped whole peeled tomatoes (tomatoes, tomato juice, salt, calcium chloride, citric acid), Canola Oil, Balsamic Vinegar Glace, Salt, Black Pepper, Basil, Garlic, Black Pepper",66e99466351d5306ad498465,,150
670abaf22b7b7acd38bbe4c9,Pure Eats Pizza,66e99466351d5306ad498465,Pure Eats BBQ Chicken Pizza,102517,102517.1,"Tangy BBQ, Chicken  Pizza with Onions",,2,1 slice,,"Gluten Free Pizza Crust, Barbecue Sauce, Chicken, Chicken, Onions, Canola Oil",66e99466351d5306ad498465,,170
670abaf22b7b7acd38bbe50f,Pure Eats Stir fry,66e99466351d5306ad498466,Chicken Tinga,41742,41742.8,"chicken thighs stewed in tomatillos, chipotle peppers, tomatoes, garlic and spices",,1,1/2 cup,,"Chicken, Diced tomatoes (tomatoes, tomato juice, calcium chloride, citric acid), Tomatillo, Onions, Chipotle Peppers, Garlic, Canola Oil, Bay Leaf, Oregano, Thyme, Marjoram",66e99466351d5306ad498466,,120
670abaf22b7b7acd38bbe514,Pure Eats Stir fry,66e99466351d5306ad498466,Beef Taco Meat,21255,21255.7,"Latin seasoned ground beef, accented with chipotle peppers, lime and cilantro will add flavor to your palate!",,2,4 ounce,,"Beef, Tomato puree (tomato puree, water, tomato paste, citric acid), Green Bell Peppers, Onions, Canola Oil, Lime, Chili Powder (Chili Pepper, Salt, Cumin, Oregano, Silicon Dioxide, Garlic), Garlic, Cumin, Garlic, Onion, Black Pepper, Cilantro, Chipotle Chile Pepper (Chipotle Chili Pepper and Silicon Dioxide)",66e99466351d5306ad498466,,230
670abaf22b7b7acd38bbe51d,Pure Eats Stir fry,66e99466351d5306ad498466,Mexican Rice,45929,45929.0,Traditional Mexican rice with spices and vegetables,,3,1 cup,,"Water, Long Grain White Rice, Diced tomatoes (tomatoes, tomato juice, calcium chloride, citric acid), Mixed Vegetables, Onions, Canola Oil, Garlic, Chili Powder (Chili Pepper, Salt, Cumin, Oregano, Silicon Dioxide, Garlic), Salt, Cumin",66e99466351d5306ad498466,,210
670abaf22b7b7acd38bbe520,Pure Eats Stir fry,66e99466351d5306ad498466,Black Bean Sofrito,56230,56230.1,,,4,1/2 cup,,"Black Beans, Water, Onions, Green Bell Peppers, Lime Juice, Garlic, Chili Peppers, Red Bell Peppers, Canola Oil, Red Wine Vinegar, Cilantro, Hot Sauce (vinegar, red pepper, salt), Chili Powder (Chili Pepper, Salt, Cumin, Oregano, Silicon Dioxide, Garlic), Salt, Cumin, Oregano, Bay Leaf",66e99466351d5306ad498466,,210
670abaf22b7b7acd38bbe526,Pure Eats Stir fry,66e99466351d5306ad498466,"6"" Corn Tortilla",47193,47193.0,,,5,1 each,,"Corn Tortilla (Corn, Water, Preservatives, Xanthan Gum, Lime)",66e99466351d5306ad498466,,50
670abaf22b7b7acd38bbe52b,Pure Eats Stir fry,66e99466351d5306ad498466,Guacamole,15954,15954.5,Homemade guacamole with fresh cilantro,,6,3 ounce,,"Avocado, Lime, Onions, Jalapeno, Cilantro, Salt, Black Pepper",66e99466351d5306ad498466,,100
670abaf22b7b7acd38bbe52f,Pure Eats Stir fry,66e99466351d5306ad498466,Pico de Gallo,8087,8087.0,,,7,1 ladle-1oz,,"Tomatoes, Jalapeno, Lime, Onions, Cilantro, Salt",66e99466351d5306ad498466,,5
670abaf22b7b7acd38bbe532,Pure Eats Stir fry,66e99466351d5306ad498466,Shredded Romaine,81493,81493.0,,,8,1 cup,,Shredded Lettuce,66e99466351d5306ad498466,,10
