id,category_name,category_id,name,mrn,mrn_full,desc,webtrition_id,sort_order,portion,qty,ingredients,category_id,custom_allergens,calories
670aba3a2b7b7acd38b62152,Comfort,66e97bac351d530685467365,Carolina Pulled Pork Sliders,67839,67839.4,"BBQ pulled pork, cole slaw, and pickle on a sweet hawaiian slider roll",,1,2 sandwich,,"Barbeque Pork, Hawaiian Roll, Barbecue Sauce, Cabbage, Pickles, Light Mayonnaise, Apple Juice, Carrots, Cider Vinegar (apple juice, water), Onions, Sugar, Salt, Celery Seed, Black Pepper",66e97bac351d530685467365,,450
670aba3a2b7b7acd38b620f1,Comfort,66e97bac351d530685467365,BBQ Baked Butter Beans,18314,18314.6,Creamy butter beans in a brown sugar mustard barbecue sauce,,2,4 ounce,,"Canned Butter Beans, Barbecue Sauce, Onions, Brown Sugar (sugar, cane syrups), Mustard",66e97bac351d530685467365,,150
670aba3a2b7b7acd38b620c7,Comfort,66e97bac351d530685467365,Cheesy Potatoes,134729,134729.0,Cheesy Potatoes,,3,4 ounce,,"Potatoes, Cheddar Cheese, Sour Cream, Water, Onions, Whole Milk, Unsalted Butter, All Purpose Flour, Salt, Chicken Base, Garlic, Black Pepper",66e97bac351d530685467365,,230
670aba3a2b7b7acd38b620f8,Comfort,66e97bac351d530685467365,Turmeric Roasted Root Vegetables,123296,123296.0,Sweet caramelized vegetables balanced with tomatoes and kale,,5,1/2 cup,,"Diced tomatoes (tomatoes, tomato juice, calcium chloride, citric acid), Parsnips, Turnip, Carrots, Red Beets, Kale, Canola Oil, Garlic, Ginger, Salt, Turmeric, Black Pepper",66e97bac351d530685467365,,90
670aba3a2b7b7acd38b6216a,Comfort,66e97bac351d530685467365,Steamed Broccoli,103333,103333.0,Freshly steamed seasoned broccoli,,6,1/2 cup,,"Broccoli, Salt, Black Pepper",66e97bac351d530685467365,,30
670aba3a2b7b7acd38b62107,Rooted,66e97bac351d530685467363,Plant-based Arroz con Chorizo,147282,147282.0,Plant-based Arroz con Chorizo,,1,6 ounce,,"Water, Black beans (Black beans, water, salt, calcium chloride), Meatless Chorizo, Diced tomatoes (tomatoes, tomato jucie, less than 2% of: salt, calcium chloride, citric acid), Long Grain White Rice, Onions, Red Bell Peppers, Green Bell Peppers, Yellow Bell Peppers, Vegetable Stock, Jalapeno, Salt, Chili Powder (Chili Pepper, Salt, Cumin, Oregano, Silicon Dioxide, Garlic), Cumin, Black Pepper",66e97bac351d530685467363,,160
670aba3a2b7b7acd38b62128,Rooted,66e97bac351d530685467363,Grilled Zucchini Slices,68471,68471.2,Grilled Fresh Zucchini with Olive Oil,,3,1/4 cup,,"Zucchini, Salt, Fresh Ground Black Pepper, Canola Oil",66e97bac351d530685467363,,10
670aba3a2b7b7acd38b62124,Rooted,66e97bac351d530685467363,Homemade Baked Corn Tortilla Chips,10593,10593.0,Healthy version of the classic tortilla chip,,4,3 ounce,,"Corn Tortilla (Corn, Water, Preservatives, Xanthan Gum, Lime), Canola Oil, Salt",66e97bac351d530685467363,,250
670aba3a2b7b7acd38b62157,Rooted,66e97bac351d530685467363,Root Vegetable Chips,96807,96807.1,"Parsnips, carrots, sweet potatoes and beets fried to perfection",,5,1-1/2 oz portion,,"Sweet Potatoes, Red Beets, Parsnips, Carrots, Salt, Black Pepper",66e97bac351d530685467363,,250
670aba3a2b7b7acd38b6217a,Rooted,66e97bac351d530685467363,Fresh Guacamole,15954,15954.16,A great guacamole recipe,,5,1/3 cup,,"Avocado, Tomatoes, Lime, Onions, Jalapeno, Cilantro, Salt, Black Pepper",66e97bac351d530685467363,,90
670aba3a2b7b7acd38b62174,Pure Eats,66e97bac351d530685467364,Grilled Chicken Thigh,52581,52581.5,Grilled chicken seasoned with salt and pepper,,1,3 ounce,,"Chicken, Canola Oil, Salt, Black Pepper",66e97bac351d530685467364,,170
670aba3a2b7b7acd38b6211b,Pure Eats,66e97bac351d530685467364,Avoiding Gluten Barilla Penne,50923,50923.10,Simply cooked penne,,2,1 cup,,"Water, Gluten Free Penne Pasta",66e97bac351d530685467364,,130
670aba3a2b7b7acd38b62103,Pure Eats,66e97bac351d530685467364,Pomodoro Sauce,127910,127910.1,Rich Tomato Sauce with Fresh Basil,,3,1/2 cup,,"Crushed tomatoes (unpeeled tomatoes, tomato puree, salt, citric acid), Onions, Olive Oil, Garlic, Basil, Salt, Black Pepper",66e97bac351d530685467364,,100
670aba3a2b7b7acd38b62170,Pure Eats,66e97bac351d530685467364,Sauteed Kale,102648,102648.0,Sauteed Kale,,4,1/2 cup,,"Kale, Canola Oil, Garlic, Salt, Black Pepper",66e97bac351d530685467364,,90
670aba3a2b7b7acd38b620fe,Pure Eats,66e97bac351d530685467364,Quinoa and ChickpeaTabouleh,10514,10514.9,"quinoa, chickpea, cucumbers, tomatoes, parsley, mint and scallions",,5,1/2 cup,,"Water, Chick peas (Chick Peas, Water, Salt, Mustard, Calcium Chloride, Disodium EDTA), Tomatoes, Red Quinoa, Cucumber, Parsley, Canola Oil, Green Onions, Lemon Juice, Mint, Salt, Black Pepper",66e97bac351d530685467364,,130
670aba3a2b7b7acd38b62118,Pure Eats,66e97bac351d530685467364,Sliced Strawberries,4403,4403.0,,,6,3/4 cup,,Strawberries,66e97bac351d530685467364,,35
