id,category_name,category_id,name,mrn,mrn_full,desc,webtrition_id,sort_order,portion,qty,ingredients,category_id,custom_allergens,calories
670aba3a2b7b7acd38b6269e,My Pantry,66e97bac351d530685467380,English Muffin,63633,63633.0,,,1,1 each,,English Muffin,66e97bac351d530685467380,,150
670aba3a2b7b7acd38b62679,My Pantry,66e97bac351d530685467380,White Bread,1251,1251.0,,,2,2 slice,,White Bread,66e97bac351d530685467380,,150
670aba3a2b7b7acd38b6268b,My Pantry,66e97bac351d530685467380,Whole Wheat Bread,1390,1390.6,,,3,2 slice,,Whole Wheat Bread,66e97bac351d530685467380,,150
670aba3a2b7b7acd38b62699,My Pantry,66e97bac351d530685467380,Plain Bagel,57606,57606.0,,,4,1 each,,Plain Bagel,66e97bac351d530685467380,,180
670aba3a2b7b7acd38b626a7,My Pantry,66e97bac351d530685467380,Multi Grain Flatbread,28293,28293.1,,,5,1 each,,Whole Grain Flatbread,66e97bac351d530685467380,,180
670aba3a2b7b7acd38b626a2,My Pantry,66e97bac351d530685467380,Udi's Plain Bagel,1390,1390.4,,,6,1 each,,Udi's Bagel,66e97bac351d530685467380,,310
670aba3a2b7b7acd38b626ca,My Pantry,66e97bac351d530685467380,Cream Cheese,63391,63391.0,,,7,1 tbsp,,Cream Cheese,66e97bac351d530685467380,,50
670aba3a2b7b7acd38b626c5,My Pantry,66e97bac351d530685467380,Sunflower Spread,63396,63396.1,,,8,1 tbsp,,Sunflower Seed Butter,66e97bac351d530685467380,,100
670aba3a2b7b7acd38b626cd,My Pantry,66e97bac351d530685467380,Grape Jelly,63393,63393.0,,,10,1 tbsp,,Grape Jelly,66e97bac351d530685467380,,50
670aba3a2b7b7acd38b626d8,My Pantry,66e97bac351d530685467380,Strawberry Preserves,47957,47957.17,Strawberry Preserves,,11,1 tbsp,,Strawberry Preserves,66e97bac351d530685467380,,50
670aba3a2b7b7acd38b6265b,My Pantry,66e97bac351d530685467380,Cheerios,63313,63313.2,,,12,1 cup,,Cheerios Cereal,66e97bac351d530685467380,,100
670aba3a2b7b7acd38b6266b,My Pantry,66e97bac351d530685467380,Rice Krispies,63313,63313.8,,,13,1 cup,,Rice Krispies Cereal,66e97bac351d530685467380,,100
670aba3a2b7b7acd38b6266f,My Pantry,66e97bac351d530685467380,Special K,63313,63313.11,,,14,1 cup,,Special K Cereal,66e97bac351d530685467380,,120
670aba3a2b7b7acd38b62656,My Pantry,66e97bac351d530685467380,Frosted Flakes,63313,63313.7,,,15,1 cup,,Frosted Flakes Cereal,66e97bac351d530685467380,,130
670aba3a2b7b7acd38b62669,My Pantry,66e97bac351d530685467380,Cocoa Puffs,63313,63313.12,,,16,1 cup,,Cocoa Puff Cereal,66e97bac351d530685467380,,140
670aba3a2b7b7acd38b62663,My Pantry,66e97bac351d530685467380,Froot Loops,82071,82071.2,,,17,1 cup,,Fruit Loops Cereal,66e97bac351d530685467380,,110
670aba3a2b7b7acd38b62696,My Pantry,66e97bac351d530685467380,Banana,1318,1318.0,,,18,1 each,,Banana,66e97bac351d530685467380,,110
670aba3a2b7b7acd38b6267f,My Pantry,66e97bac351d530685467380,Orange,64062,64062.0,,,19,1 each,,Orange,66e97bac351d530685467380,,60
670aba3a2b7b7acd38b62686,My Pantry,66e97bac351d530685467380,Apple,1638,1638.0,,,20,1 each,,Apples,66e97bac351d530685467380,,70
